Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Intiial Trading High,Initial Trading Low,Close Day 1,Volume Initial Trading Day,Close Day 7 Trading,Price End Day 30,Price End Day 90,Price End Day 180,Price End Day 365,Price End Day 2 Years,Price End Day 5 Years,Price End Day 10 Years,notes,,,,,,,,,
AIM,06/01/2014,01/01/2014,2014,IPO,,RM2 INTL SA,New Company Placing,Luxembourg,2723,General Industrials,Containers & Packaging,88,,316.24,Cenkos Securities Plc,137.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,30/12/2013,01/12/2013,2013,IPO,,KODAL MINERALS PLC,New Company Placing,United Kingdom,1775,Mining,General Mining,0.7,,5.19,Allenby Capital Limited,1,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,27/12/2013,01/12/2013,2013,IPO,,DAMAC REAL ESTATE DEVELOPMENT LTD,International Offering (GDR),United Emirates,8633, Real Estate Investment & Services, Real Estate Holding & Development,12.25,,798.97,,210.27,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,23/12/2013,01/12/2013,2013,IPO,,ACTION HOTELS PLC,New Company Placing,United Kingdom,5753,Travel & Leisure,Hotels,65,,95.96,Sanlam Securities UK Limited,30.96,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,20/12/2013,01/12/2013,2013,IPO,,ATLAS MARA CO NVEST LTD,New Company Placing,British Virgin Islands,8775,General Financial,Specialty Finance,10,,206.11,,191.13,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,20/12/2013,01/12/2013,2013,IPO,,VINALAND ZDP LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,15.23,,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,19/12/2013,01/12/2013,2013,IPO,,GCP SOVEREIGN INFRASTRUC DEBT LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,1,,77.83,,75.57,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,18/12/2013,01/12/2013,2013,IPO,,JPMORGAN SENIOR SECURED LOAN FUND,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,80.19,,79,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/12/2013,01/12/2013,2013,IPO,,BENCHMARK HLDGS PLC,New Company Placing,United Kingdom,4573,Pharmaceuticals & Biotechnology,Biotechnology,64,,100.95,Cenkos Securities Plc,45.11,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/12/2013,01/12/2013,2013,IPO,,MARTINCO PLC,New Company Placing,United Kingdom,8637, Real Estate Investment & Services, Real Estate Services,100,,25.74,Panmure Gordon (UK) Limited,10.35,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/12/2013,01/12/2013,2013,IPO,,MOPOWERED GROUP PLC,New Company Placing,United Kingdom,9537,Software & Computer Services,Software,100,,15.42,Nplus1 Singer Advisory LLP,3.64,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,11/12/2013,01/12/2013,2013,IPO,,HIBERNIA REIT PLC,New Company Placing,Republic of Ireland,8674, Real Estate Investment Trusts, Diversified REITs,100,,510.64,,364.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,11/12/2013,01/12/2013,2013,IPO,,SAFESTYLE UK PLC,New Company Placing,United Kingdom,5375,General Retailers,Home Improvement Retailers,100,,107.33,Zeus Capital Limited,70,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,09/12/2013,01/12/2013,2013,IPO,,TRITAX BIG BOX REIT PLC,New Company Placing,United Kingdom,8675, Real Estate Investment Trusts, Specialty REITs,100,,200.1,,200,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,09/12/2013,01/12/2013,2013,IPO,,JQW PLC,New Company Placing,United Kingdom,5377,General Retailers,Specialized Consumer Services,70,,139.84,Cairn Financial Advisers LLP,10,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,04/12/2013,01/12/2013,2013,IPO,,SYQIC PLC,New Company Placing,United Kingdom,6535,Fixed Line Telecommunications,Fixed Line Telecommunications,62,,19.26,Allenby Capital Limited,3.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,02/12/2013,01/12/2013,2013,IPO,,SERVELEC GROUP PLC,New Company Placing,United Kingdom,9533,Software & Computer Services,Computer Services,179,,146.91,,122.31,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,29/11/2013,01/11/2013,2013,IPO,,KALIBRATE TECHNOLOGIES PLC,New Company Placing,United Kingdom,9537,Software & Computer Services,Software,79,,28.74,Nplus1 Singer Advisory LLP,6.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,28/11/2013,01/11/2013,2013,IPO,,ECLECTIC BAR GRP PLC,New Company Placing,United Kingdom,5757,Travel & Leisure,Restaurants & Bars,160,,21.16,Panmure Gordon (UK) Limited,15.04,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,26/11/2013,01/11/2013,2013,IPO,,MINCON GROUP PLC,New Company Placing,Republic of Ireland,2757,Industrial Engineering,Industrial Machinery,73,,169.61,Davy Corporate Finance,41.95,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,25/11/2013,01/11/2013,2013,IPO,,GAMEACCOUNT NETWORK PLC,New Company Placing,United Kingdom,3747,Leisure Goods,Toys,135,,80.85,Davy Corporate Finance,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,20/11/2013,01/11/2013,2013,IPO,,INFINIS ENERGY PLC,New Company Placing,United Kingdom,7537, Electricity, Alternative Electricity,260,,810,,234,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/11/2013,01/11/2013,2013,IPO,,APPLIED GRAPHENE MATERIALS PLC,New Company Placing,United Kingdom,1357,Chemicals,Specialty Chemicals,155,,36.48,Nplus1 Singer Advisory LLP,11,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,15/11/2013,01/11/2013,2013,IPO,,Just Retirement Group plc,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,225,,"1,065.00",,343.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,13/11/2013,01/11/2013,2013,IPO,,MERLIN ENTERTAINMENTS PLC,New Company Placing,United Kingdom,5755,Travel & Leisure,Recreational Services,315,,"3,517.70",,200,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,13/11/2013,01/11/2013,2013,IPO,,EU SUPPLY PLC,New Company Placing,United Kingdom,9537,Software & Computer Services,Software,22.6,,13.98,Westhouse Securities Limited,5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,12/11/2013,01/11/2013,2013,IPO,,RIGHTSTER GROUP PLC,New Company Placing,United Kingdom,9533,Software & Computer Services,Computer Services,60,,83.79,Cenkos Securities Plc,20.45,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,07/11/2013,01/11/2013,2013,IPO,,EVERYMAN MEDIA GROUP PLC,New Company Placing,United Kingdom,5755,Travel & Leisure,Recreational Services,83,,35.2,Cenkos Securities Plc,8.1,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,07/11/2013,01/11/2013,2013,IPO,,GOWIN NEW ENERGY GRP LTD,New Company Placing,Cayman Islands,3722,Household Goods,Durable Household Products,7,,29.21,Cairn Financial Advisers LLP,1.15,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,29/10/2013,01/10/2013,2013,IPO,,RIVERSTONE ENERGY LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,1000,,686.17,,710.32,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,29/10/2013,01/10/2013,2013,IPO,,FORESIGHT SOLAR FUND LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,150,,150,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,25/10/2013,01/10/2013,2013,IPO,,TCS GROUP HLDG PLC,International Offering (GDR),USA,8355,Banks,Banks,17.5,,"3,451.65",,1086.96,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,25/10/2013,01/10/2013,2013,IPO,,STOCK SPIRITS GROUP PLC,New Company Placing,United Kingdom,3535,Beverages,Distillers & Vintners,235,,460,,258.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/10/2013,01/10/2013,2013,IPO,,TUNGSTEN CORP PLC,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,225,,232.75,Charles Stanley Securities,160,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/10/2013,01/10/2013,2013,IPO,,KROMEK GROUP PLC,New Company Placing,United Kingdom,1755,Industrial Metals,Nonferrous Metals,51,,64.3,Panmure Gordon (UK) Limited,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/10/2013,01/10/2013,2013,IPO,,CHINA RERUN CHEMICAL GROUP LTD,New Company Placing,Cayman Islands,1357,Chemicals,Specialty Chemicals,10,,40.93,Cairn Financial Advisers LLP,0.18,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,15/10/2013,01/10/2013,2013,IPO,,ROYAL MAIL PLC,New Company Placing,United Kingdom,2771,Industrial Transportation,Delivery Services,330,,"4,890.00",,1721.74,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,11/10/2013,01/10/2013,2013,IPO,,ARROW GLOBAL GRP PLC,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,205,,392.49,,207.77,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,07/10/2013,01/10/2013,2013,IPO,,CHENAVARI CAPITAL SOLUTIONS LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,131.93,,130,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,04/10/2013,01/10/2013,2013,IPO,,DP AIRCRAFT I LTD,New Company Placing,United Kingdom,2713,Aerospace & Defence,Aerospace,1,,121.19,,113,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,30/09/2013,01/09/2013,2013,IPO,,Independent Oil & Gas plc,New Company Placing,United Kingdom,533,Oil & Gas Producers,Exploration & Production,23.7931,, -   ,Charles Stanley Securities,2,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,25/09/2013,01/09/2013,2013,IPO,,FOXTONS GROUP PLC,New Company Placing,United Kingdom,8637, Real Estate Investment & Services, Real Estate Services,230,,753.41,,389.73,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/09/2013,01/09/2013,2013,IPO,,Macromac plc,New Company Placing,United Kingdom,9537,Software & Computer Services,Software,10,,15.11,Allenby Capital Limited,0.48,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/09/2013,01/09/2013,2013,IPO,,NetScientific plc,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,160,,59.24,Liberum Capital Limited,30,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,12/09/2013,01/09/2013,2013,IPO,,Arricano Real Estate PLC,New Company Placing,Cyprus,8633, Real Estate Investment & Services, Real Estate Holding & Development,150.5,,2.58,Smith & Williamson Corporate Finance Limited,15.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,04/09/2013,01/09/2013,2013,IPO,,BlueRock Diamonds plc,New Company Placing,United Kingdom,1773,Mining,Diamonds & Gemstones,7,,3.23,SP Angel Corporate Finance LLP,1.31,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,02/09/2013,01/09/2013,2013,IPO,,CENTRALNIC GROUP PLC,New Company Placing,United Kingdom,9535,Software & Computer Services,Internet,55,,38.7,Zeus Capital Limited,7,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/08/2013,01/08/2013,2013,IPO,,W&G INVESTMENTS PLC,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,100,, -   ,Canaccord Genuity Ltd,15,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,14/08/2013,01/08/2013,2013,IPO,,RAPIDCLOUD INTL PLC,New Company Placing,United Kingdom,9533,Software & Computer Services,Computer Services,69.5,,12.07,Allenby Capital Limited,1,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,09/08/2013,01/08/2013,2013,IPO,,SCIENCE IN SPORT LTD,New Company Placing,United Kingdom,3577,Food Producers,Food Products,60.5,,11.73,Cenkos Securities Plc,2.25,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,31/07/2013,01/07/2013,2013,IPO,,CONVIVIALITY RETAIL PLC,New Company Placing,United Kingdom,5337,Food & Drug Retailers,Food Retailers & Wholesalers,100,,86.71,Zeus Capital Limited,33.16,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,31/07/2013,01/07/2013,2013,IPO,,24/7 GAMING GROUP HLDGS PLC,New Company Placing,United Kingdom,3747,Leisure Goods,Toys,45,,79.24,Westhouse Securities Limited,9.2,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,30/07/2013,01/07/2013,2013,IPO,,UNION JACK OIL PLC,New Company Placing,United Kingdom,533,Oil & Gas Producers,Exploration & Production,0.25,,2.79,Shore Capital Stockbrokers Lim,0.8,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,29/07/2013,01/07/2013,2013,IPO,,RENEWABLES INFRASTRUCTURE GRP(THE),New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,300.75,,300,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,25/07/2013,01/07/2013,2013,IPO,,GLOBALWORTH REAL ESTATE INVMTS LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,436.7449886,,129.41,Panmure Gordon & Co,46.81,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,24/07/2013,01/07/2013,2013,IPO,,PLUS500 LTD,New Company Placing,Israel,8777,General Financial,Investment Services,115,,137.87,Liberum Capital Limited,49.67,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,19/07/2013,01/07/2013,2013,IPO,,GOLDEN SAINT RESOURCES LTD,New Company Placing,British Virgin Islands,1775,Mining,General Mining,10,,50.42,Beaumont Cornish Limited,3.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,18/07/2013,01/07/2013,2013,IPO,,GREEN REIT PLC,New Company Placing,Republic of Ireland,8671, Real Estate Investment Trusts, Industrial & Office REITs,1,,300.57,,270.43,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,16/07/2013,01/07/2013,2013,IPO,,TRAFALGAR NEW HOMES,New Company Placing,United Kingdom,3728,Household Goods,Home Construction,2,,5.14,Allenby Capital Limited,0.28,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,15/07/2013,01/07/2013,2013,IPO,,FRONTIER DEVELOPMENTS PLC,New Company Placing,United Kingdom,3747,Leisure Goods,Toys,127,,47.96,Canaccord Genuity Ltd,4.03,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,12/07/2013,01/07/2013,2013,IPO,,BLUEFIELD SOLAR INCOME FUND LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,134.2,,130.29,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,12/07/2013,01/07/2013,2013,IPO,,KEYWORDS STUDIOS PLC,New Company Placing,United Kingdom,2791,Support Services,Business Support Services,123,,58.65,Numis Securities Limited,27.99,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,11/07/2013,01/07/2013,2013,IPO,,XPLORER PLC,New Company Placing,United Kingdom,533,Oil & Gas Producers,Exploration & Production,16,,2.03,,1,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,05/07/2013,01/07/2013,2013,IPO,,FRONTIER RESOURCES INTL PLC,New Company Placing,United Kingdom,533,Oil & Gas Producers,Exploration & Production,6,,7.7,Beaumont Cornish Limited,1.8,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,02/07/2013,01/07/2013,2013,IPO,,DORIC NIMROD AIR THREE LTD,New Company Placing,United Kingdom,2777,Industrial Transportation,Transportation Services,100,, -   ,,211,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,01/07/2013,01/07/2013,2013,IPO,,POLAR CAPITAL GLOBAL FINANCIALS TR,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,162.14,,183.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,28/06/2013,01/06/2013,2013,IPO,,IBEX GLOBAL SOLUTIONS PLC,New Company Placing,United Kingdom,2791,Support Services,Business Support Services,147,,60.52,Liberum Capital Limited,10.74,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,27/06/2013,01/06/2013,2013,IPO,,MYANMAR INVESTMENTS INTL LTD,New Company Placing,British Virgin Islands,8775,General Financial,Specialty Finance,69,,4.36,Grant Thornton UK LLP,4.03,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,26/06/2013,01/06/2013,2013,IPO,,AL NOOR HOSPITALS PLC,New Company Placing,United Kingdom,4533,Health Care Equipment & Services,Health Care Providers,575,,723.4,,96.98,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,25/06/2013,01/06/2013,2013,IPO,,CVC CREDIT PTNRS EUROPEAN OPPS LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,1,,150.33,,149.78,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,25/06/2013,01/06/2013,2013,IPO,,AFRICA OILFIELD LOGISTICS LTD,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,5,,13.37,Cantor Fitzgerald Europe,4.26,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/06/2013,01/06/2013,2013,IPO,,FALANX GROUP LTD,New Company Placing,British Virgin Islands,2791,Support Services,Business Support Services,12,,4.96,ZAI Corporate Finance Limited,0.6,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,12/06/2013,01/06/2013,2013,IPO,,PARTNERSHIP ASSURANCE GROUP PLC,New Company Placing,United Kingdom,8575,Life Insurance,Life Insurance,385,,"1,800.00",,485.08,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,12/06/2013,01/06/2013,2013,IPO,,VERSARIEN PLC,New Company Placing,United Kingdom,1357,Chemicals,Specialty Chemicals,12.5,,11.22,Northland Capital Partners Lim,3.06,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,11/06/2013,01/06/2013,2013,IPO,,JPMORGAN GLOBAL CONVERTIBLES INC FD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,140.08,,136,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,04/06/2013,01/06/2013,2013,IPO,,SUPERGLASS HLDGS PLC,New Company Placing,United Kingdom,2353,Construction & Materials,Building Materials & Fixtures,50,,13.44,Nplus1 Singer Advisory LLP,12.9,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,24/05/2013,01/05/2013,2013,IPO,,OUTSOURCERY PLC,New Company Placing,United Kingdom,9533,Software & Computer Services,Computer Services,110,,22.91,Investec Bank PLC,11,-,-,,,,,,,,,,,,,,,,,,,,,,,
International Main Market,22/05/2013,01/05/2013,2013,IPO,,PLATFORM ACQUISITION HLDGS LTD,New Company Placing,British Virgin Islands,8775,General Financial,Specialty Finance,10,,595.59,,581.06,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,22/05/2013,01/05/2013,2013,IPO,,AB DYNAMICS PLC,New Company Placing,United Kingdom,2757,Industrial Engineering,Industrial Machinery,86,,11.52,Cairn Financial Advisers LLP,2.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,21/05/2013,01/05/2013,2013,IPO,,QUIXANT PLC,New Company Placing,United Kingdom,9572,Technology Hardware & Equipment,Computer Hardware,46,,25.85,Smith & Williamson Corporate F,3.88,-,-,,,,,,,,,,,,,,,,,,,,,,,
SFM,20/05/2013,01/05/2013,2013,IPO,,GCP STUDENT LIVING PLC,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,72.76,,70,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,17/05/2013,01/05/2013,2013,IPO,,LEKOIL LTD,New Company Placing,Cayman Islands,533,Oil & Gas Producers,Exploration & Production,40,,41.11,Strand Hanson Limited,32,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,17/05/2013,01/05/2013,2013,IPO,,PUMA VCT 9 PLC,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,26.93,,28.35,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,14/05/2013,01/05/2013,2013,IPO,,WEISS KOREA OPPORTUNITY FUND LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,105,Nplus1 Singer Advisory LLP,105,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,02/05/2013,01/05/2013,2013,IPO,,ALL ASIA ASSET CAP LTD,New Company Placing,British Virgin Islands,8777,General Financial,Investment Services,3,,5.97,Allenby Capital Limited,3.57,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,24/04/2013,01/04/2013,2013,IPO,,REDCENTRIC PLC,New Company Placing,United Kingdom,9533,Software & Computer Services,Computer Services,,,56.13,finnCap Ltd,0,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/04/2013,01/04/2013,2013,IPO,,CAMBRIDGE COGNITION HLDGS PLC,New Company Placing,United Kingdom,4533,Health Care Equipment & Services,Health Care Providers,70,,11.82,finnCap,5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/04/2013,01/04/2013,2013,IPO,,ONE MEDIA IP GROUP PLC,New Company Placing,United Kingdom,5553,Media,Broadcasting & Entertainment,8,,5.15,Cairn Financial Advisers LLP,0.75,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,16/04/2013,01/04/2013,2013,IPO,,PEMBROKE VCT PLC,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,9.07,,9.07,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,05/04/2013,01/04/2013,2013,IPO,,HEALTHCARE INVESTMENT OPPS PLC,New Company Placing,United Kingdom,8775,General Financial,Specialty Finance,10,,4.56,Zeus Capital Limited,4,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,03/04/2013,01/04/2013,2013,IPO,,ELECTRICAL GEODESICS INC,New Company Placing,USA,4535,Health Care Equipment & Services,Medical Equipment,120,,30.56,Peel Hunt LLP,8,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,02/04/2013,01/04/2013,2013,IPO,,HELLERMANNTYTON GROUP PLC,New Company Placing,United Kingdom,2733,Electronic & Electrical Equipment,Electrical Components & Equipment,195,,419.85,,211.95,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,28/03/2013,01/03/2013,2013,IPO,,FALCON OIL & GAS,New Company Placing,Canada,533,Oil & Gas Producers,Exploration & Production,14,,114.43,Davy Corporate Finance,16.85,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,27/03/2013,01/03/2013,2013,IPO,,ESURE GROUP PLC,New Company Placing,United Kingdom,8536,Nonlife Insurance,Property & Casualty Insurance,290,,"1,208.84",,604.42,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,27/03/2013,01/03/2013,2013,IPO,,GREENCOAT UK WIND PLC,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,260,,260,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,25/03/2013,01/03/2013,2013,IPO,,COUNTRYWIDE PLC,New Company Placing,United Kingdom,8637, Real Estate Investment & Services, Real Estate Services,350,,768.06,,204,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,20/03/2013,01/03/2013,2013,IPO,,CLOUDTAG INC,New Company Placing,Cayman Islands,4535,Health Care Equipment & Services,Medical Equipment,20,,29.56,Strand Hanson Limited,1.53,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,18/03/2013,01/03/2013,2013,IPO,,DEKELOIL PUBLIC LTD,New Company Placing,Cyprus,3573,Food Producers,Farming & Fishing,1,,13,Beaumont Cornish Limited,1.7,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,07/03/2013,01/03/2013,2013,IPO,,TARGET HEALTHCARE REIT LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,45.66,,45.66,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,06/03/2013,01/03/2013,2013,IPO,,TWENTYFOUR INCOME FUND LTD,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,136.08,,136.08,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,27/02/2013,01/02/2013,2013,IPO,,STARCOM PLC,New Company Placing,United Kingdom,9537,Software & Computer Services,Software,20,,14.22,Northland Capital Partners Ltd,2.72,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,18/02/2013,01/02/2013,2013,IPO,,CREST NICHOLSON HLDGS PLC,New Company Placing,United Kingdom,3728,Household Goods,Home Construction,220,,553.14,,224.92,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,14/02/2013,01/02/2013,2013,IPO,,DIGITAL GLOBE SERVICES LTD,New Company Placing,Bermuda,5555,Media,Media Agencies,159,,47.17,Nplus1 Singer Advisory LLP,13.08,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,05/02/2013,01/02/2013,2013,IPO,,ICG-LONGBOW SNR SEC UK PRP DEBT INV,New Company Placing,United Kingdom,8985,Equity Investment Instruments,Equity Investment Instruments,100,,104.62,,104.62,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,14/01/2013,01/01/2013,2013,IPO,,NORTHCOTE ENERGY LTD,New Company Placing,British Virgin Islands,533,Oil & Gas Producers,Exploration & Production,1,,8.7,Shore Capital Stockbrokers Lim,1,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,28/12/2012,01/12/2012,2012,IPO,,EASTCOAL INC,New Company Placing,Canada,1771,Mining,Coal,12.21,,39.7,Cenkos Securities Limited,9.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,24/12/2012,01/12/2012,2012,IPO,,CAMKIDS GROUP PLC,New Company Placing,United Kingdom,3763,Personal Goods,Clothing & Accessories,88,,9.21,Allenby Capital Limited,6.45,-,-,,,,,,,,,,,,,,,,,,,,,,,
UK Main Market,20/12/2012,01/12/2012,2012,IPO,,INLAND ZDP PLC,New Company Placing,United Kingdom,8633,Real Estate Investment & Services, Real Estate Holding & Development,100,,8.5,,8.5,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,19/12/2012,01/12/2012,2012,IPO,,RANGERS INTL FOOTBALL CLUB PLC,New Company Placing,United Kingdom,5755,Travel & Leisure,Recreational Services,70,,36.09,Cenkos Securities Limited,22.18,-,-,,,,,,,,,,,,,,,,,,,,,,,
AIM,19/12/2012,01/12/2012,2012,IPO,,GREEN CHINA HLDGS,New Company Placing,Cayman Islands,5379,General Retailers,Specialty Retailers,60,,30.93,Cairn Financial Advisers LLP,0.93,-,-,,,,,,,,,,,,,,,,,,,,,,,
