Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (£m)
06/06/2005,SUNRISE RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,3.23
24/03/2010,SUPERDRY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,88.6
21/07/2017,SUPERMARKET INCOME REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"1,076.75"
06/10/1961,S & U PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,289.1
23/03/2020,SUPPLY@ME CAPITAL PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,25.48
01/02/2021,SUPREME PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,AIM ,No,110.86
23/03/2015,SURESERVE GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,145.44
19/01/2018,SURE VENTURES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,6.48
24/09/2002,SURFACE TRANSFORMS PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,72.79
07/07/1998,SURGICAL INNOVATIONS GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,18.19
23/12/1996,SUTTON HARBOUR GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,28.59
18/10/2000,SVM UK EMERGING FUND PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,3.93
25/03/2011,SYLVANIA PLATINUM LIMITED,Basic Materials,Basic Resources,Bermuda,North America,AIM ,Yes,245.46
30/11/2001,SYMPHONY ENVIRONMENTAL TECHNOLOGIES PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,16.63
03/08/2007,SYMPHONY INTERNATIONAL HOLDINGS LD,Financials,Financial Services ,British Virgin Islands,North America,MAIN MARKET ,Yes,194.73
26/10/2004,SYNAIRGEN PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,16.26
26/10/2012,SYNCONA LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,991.95
15/01/2002,SYNECTICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,20.46
16/02/2006,SYNERGIA ENERGY LTD,Energy,Energy,Australia,Pacific,AIM ,Yes,7.62
14/10/1971,SYNTHOMER PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,545.38
14/01/2013,SYSGROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,12.7
05/12/2006,SYSTEM1 GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,20.29
27/02/2013,T42 IOT TRACKING SOLUTIONS PLC,Technology,Technology,Jersey,Europe,AIM ,No,3.05
27/09/2000,TANDEM GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,13.82
30/12/2003,TANFIELD GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,5.28
07/08/2019,TARGET HEALTHCARE REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,434.79
22/11/2019,TASEKO MINES LIMITED,Basic Materials,Basic Resources,Canada,North America,MAIN MARKET ,Yes,367.64
04/07/2006,TASTY PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,3.29
05/06/2000,TATA CONSUMER PRODUCTS LIMITED,Consumer Staples ,"Food, Beverage and Tobacco ",India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
28/07/2009,TATA POWER COMPANY LIMITED,Utilities,Utilities,India,Asia,ADMISSION TO TRADING ONLY ,Yes,-
27/07/2009,TATA STEEL LIMITED,Basic Materials,Basic Resources,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
09/12/1938,TATE & LYLE PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"3,151.02"
06/07/2017,TATTON ASSET MANAGEMENT PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,268.45
13/02/2015,TAVISTOCK INVESTMENTS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,37.59
27/05/2021,TAYLOR MARITIME INVESTMENTS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,297.19
07/03/1947,TAYLOR WIMPEY PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"4,201.30"
10/08/2016,TBC BANK GROUP PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,"1,231.81"
08/09/1949,TCLARKE PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,59.53
25/10/2013,TCS GROUP HOLDING PLC,Financials,Banks,Cyprus,Europe,MAIN MARKET ,Yes,-
23/05/2018,TEAM17 GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,553.25
