Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
UK Main Market,2021-10-13,2021-10-01,2021,IPO,WPS,W.A.G PAYMENT SOLUTIONS PLC,New Company Placing,,United Kingdom,50205015.0,Industrial Support Services,Transaction Processing Services,150.0,GBX,930.1680818166,,169.9999995,16.0000005,186,135.0,140.5,127.81999969482422,135.0,13024911.0,140.0,127.30000305175781,96.5,98.0,87.0,,,
UK Main Market,2021-10-11,2021-10-01,2021,IPO,TMTA,TMT ACQUISITION PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,20.0,GBX,6.1875,,5.0,0,5,22.5,23.219999313354492,23.219999313354492,22.5,20000.0,23.0,23.200000762939453,22.5,22.5,18.0,,,
AIM,2021-10-08,2021-10-01,2021,IPO,MEX,TORTILLA MEXICAN GRILL PLC,New Company Placing,,United Kingdom,40501040.0,Travel and Leisure,Restaurants and Bars,181.0,GBX,73.4616589,Liberum Capital Limited,5.00000011,23.01578262,28.01578273,190.0,200.0,190.0,192.5,195875.0,193.0,187.5,183.5,162.5,103.5,,,
UK Main Market,2021-10-05,2021-10-01,2021,IPO,ONT,OXFORD NANOPORE TECHNOLOGIES PLC,New Company Placing,,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,425.0,GBX,4753.70912052,,349.99999925,0,349.99999925,545.0,622.9000244140625,540.0,612.5999755859375,23297951.0,575.0,558.5,716.0,392.0,241.0,,,
UK Main Market,2021-10-01,2021-10-01,2021,IPO,PHLL,PETERSHILL PARTNERS PLC,New Company Placing,,United Kingdom,30202010.0,Investment Banking and Brokerage Services ,Asset Managers and Custodians,350.0,GBX,4048.4361015,,546.986104,465.122938,1012.109042,350.0,359.3500061035156,337.54998779296875,339.180908203125,67140834.0,339.8592834472656,292.27703857421875,269.5,231.6121063232422,179.25344848632812,,,
AIM,2021-09-30,2021-09-01,2021,IPO,MTEC,MADE TECH GROUP PLC,New Company Placing,,United Kingdom,10101010.0,Software and Computer Services,Computer Services,122.0,GBX,199.90553355,Singer Capital Markets Advisory LLP,14.99999882,70.40353552,85.40353434,135.0,150.0,130.0,135.0,6435810.0,140.0,131.0,112.0,40.5,25.25,,,
UK Main Market,2021-09-30,2021-09-01,2021,IPO,BAY,BAY CAPITAL PLC,New Company Placing,,Jersey,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,12.25,,4.0,0,4,17.5,19.0,15.0,18.0,456291.0,20.0,18.0,26.0,20.5,15.75,,,
AIM,2021-09-29,2021-09-01,2021,IPO,PEEL,PEEL HUNT LIMITED,New Company Placing,,Guernsey,,,,228.0,GBX,285.526472625,Grant Thornton UK LLP,40.0000008,71.99999916,111.99999996,232.5,235.0,232.0,226.5795440673828,1212928.0,221.7173309326172,222.6897735595703,195.46133422851562,122.0417709350586,90.0,,,
AIM,2021-09-28,2021-09-01,2021,IPO,GROC,GREENROC MINING PLC,New Company Placing,,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,10.0,GBX,12.23200011,Cairn Financial Advisers LLP,5.12,0,5.12,11.0,10.949999809265137,9.699999809265137,9.899999618530273,4635481.0,8.949999809265137,8.149999618530273,6.75,7.300000190734863,4.480000019073486,,,
UK Main Market,2021-09-27,2021-09-01,2021,IPO,ALK,ALKEMY CAPITAL INVESTMENTS PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,50.0,GBX,3.5999994,,1.4999995,0,1.4999995,60.0,50.0,50.0,60.0,40000.0,150.0,150.0,110.0,140.0,105.0,,,
UK Main Market,2021-09-15,2021-09-01,2021,IPO,NZI,NET ZERO INFRASTRUCTURE PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,3.0,GBX,2.27625,,1.5,0,1.5,3.75,4.5,3.299999952316284,4.5,4245089.0,5.0,3.6500000953674316,3.5999999046325684,2.8499999046325684,0.02199999988079071,,,
UK Main Market,2021-08-25,2021-08-01,2021,IPO,CRES,CITIUS RESOURCES PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,4.0,GBX,2.054375,,0.0,0.56,0.56,4.75,4.974999904632568,4.949999809265137,4.75,3940.0,4.75,5.0,4.650000095367432,3.1500000953674316,0.029999999329447746,,,
AIM,2021-08-18,2021-08-01,2021,IPO,LIKE,LIKEWISE GROUP PLC,New Company Placing,,United Kingdom,40202015.0,Household Goods and Home Construction,Household Furnishings,25.0,GBX,52.90290335,Zeus Capital Limited,10.0,0,10,27.323699951171875,32.78839874267578,24.83970069885254,29.13042640686035,3416020.0,30.611656188964844,35.05533981323242,44.43635177612305,39.75384521484375,28.0,,,
AIM,2021-08-11,2021-08-01,2021,IPO,BVX,BIVICTRIX THERAPEUTICS PLC,New Company Placing,,United Kingdom,20103010.0,"Pharmaceuticals, Biotechnology and Marijuana Producers",Biotechnology,20.0,GBX,14.875920225,SP Angel Corporate Finance LLP,7.5,0,7.5,22.5,29.25,22.0,25.5,740014.0,24.0,20.0,24.0,26.0,20.5,,,
UK Main Market,2021-07-30,2021-07-01,2021,IPO,HGEN,HYDROGENONE CAPITAL GROWTH PLC,New Company Placing,,United Kingdom,60102020.0,Alternative Energy,Renewable Energy Equipment ,100.0,GBX,109.497,,107.35,0,107.35,102.0,102.0,99.177001953125,100.0,1004926.0,100.25,111.5,116.19999694824219,103.0,90.5999984741211,,,
AIM,2021-07-28,2021-07-01,2021,IPO,BIG,BIG TECHNOLOGIES PLC,New Company Placing,,United Kingdom,10101010.0,Software and Computer Services,Computer Services,200.0,GBX,807.7302296,Zeus Capital Limited,16.080664,185.60006,201.680724,280.0,310.0,250.0,295.0,1081780.0,352.5,352.75,310.0,245.0,238.5,,,
UK Main Market,2021-07-28,2021-07-01,2021,IPO,SPAQ,SPINNAKER ACQUISITIONS PLC,New Company Placing,,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,2.6532072,,2.081,0,2.081,,,,,,,,,,,,,
AIM,2021-07-27,2021-07-01,2021,IPO,CODE,NORTHCODERS GROUP PLC,New Company Placing,,United Kingdom,10101010.0,Software and Computer Services,Computer Services,180.0,GBX,12.7777788,W.H. Ireland Limited,3.4999992,0,3.4999992,184.0,187.02000427246094,180.0,182.5,43940.0,182.5,180.5,205.0,256.0,245.0,,,
