Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,107.000000,101.500000,101.500000,107.500000,103.269318,164553
2018-06-21,106.000000,110.000000,105.000000,108.000000,103.749634,46258
2018-06-22,107.400002,118.000000,107.400002,116.000000,111.434799,106555
2018-06-25,119.999001,119.999001,110.000000,114.000000,109.513504,68979
2018-06-26,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-06-27,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-06-28,113.440002,113.440002,113.440002,113.000000,108.552856,2543
2018-06-29,113.000000,113.000000,111.000000,113.000000,108.552856,12833
2018-07-02,111.500000,111.500000,111.500000,113.000000,108.552856,262
2018-07-03,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-04,111.500000,111.500000,111.500000,113.000000,108.552856,403
2018-07-05,111.500000,111.500000,111.500000,113.000000,108.552856,9827
2018-07-06,111.000000,111.000000,111.000000,113.000000,108.552856,5000
2018-07-09,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-10,112.449997,112.449997,108.000000,113.000000,108.552856,7557
2018-07-11,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-12,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-13,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-16,112.449997,112.449997,112.449997,112.449997,108.024506,13872
2018-07-17,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-18,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-19,111.500000,111.500000,111.500000,113.000000,108.552856,15000
2018-07-20,111.500000,111.500000,107.000000,113.000000,108.552856,27500
2018-07-23,111.500000,111.500000,111.500000,113.000000,108.552856,3000
2018-07-24,111.500000,111.500000,110.000000,113.000000,108.552856,12276
2018-07-25,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-26,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-07-27,108.000000,108.000000,108.000000,113.000000,108.552856,3000
2018-07-30,112.500000,112.500000,112.000000,113.000000,108.552856,26546
2018-07-31,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-08-01,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-08-02,112.449997,112.449997,112.449997,113.000000,108.552856,4350
2018-08-03,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-08-06,113.000000,113.000000,113.000000,113.000000,108.552856,0
2018-08-07,112.449997,112.449997,112.449997,114.000000,109.513504,1767
