Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Transfer,Country of Inc.,FTSE Industry,FTSE Sector,FTSE Subsector,Issue Price,Currency,Market Cap - Opening Price (Â£m),Nominated Advisor (AIM only),Money Raised - New (Â£m),Money Raised - Existing (Â£m),TOTAL RAISED (Â£m),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650
AIM,30/03/2023,01/03/2023,2023,IPO,ONWD,ONWARD OPPORTUNITIES LIMITED,New Company Placing,,Guernsey,,,,100,GBX,12.30375965,,12.75,0,12.75,96.5,106.9000015,98,104,1353424,105,,,,,,,
UK Main Market,28/02/2023,01/02/2023,2023,IPO,DAR,DAR GLOBAL PLC,New Company Placing,,United Kingdom,,,,3.33,USD,0,,60.23438545,0,60.23438545,3.549999952,3.329999924,3.329999924,3.599999905,27500,3.700000048,3.799999952,,,,,,
AIM,14/02/2023,01/02/2023,2023,IPO,FMET,FULCRUM METALS PLC,New Company Placing,,United Kingdom,,,,17.5,GBX,0,,2.99999998,0,2.99999998,19,18.79999924,17.64999962,18.25,292668,17.64999962,17.75,,,,,,
AIM,30/01/2023,01/01/2023,2023,IPO,CLA,CELSIUS RESOURCES LIMITED,New Company Placing,,Australia,55102000,Industrial Metals and Mining,General Mining,0.8,GBX,0,Beaumont Cornish Limited,2.395,0,2.395,0.899999976,0.899999976,0.899999976,0.899999976,0,0.949999988,0.949999988,,,,,,
UK Main Market,05/01/2023,01/01/2023,2023,IPO,STK,STREAKS GAMING PLC,New Company Placing,,United Kingdom,40203040,Leisure Goods,Electronic Entertainment,3,GBX,12.76804806,,3.67749999,0,3.67749999,3.375,3.375,3.375,3.375,0,3.5,3.150000095,2.900000095,,,,,
UK Main Market,21/12/2022,01/12/2022,2022,IPO,MCI,MEDCAW INVESTMENTS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,GBX,1.798869975,,0.637082,0,0.637082,0.104999997,0.104999997,0.104999997,0.104999997,0,0.104999997,0.079999998,0.050000001,,,,,
AIM,15/12/2022,01/12/2022,2022,IPO,S247,SMARTTECH247 GROUP PLC,New Company Placing,,United Kingdom,10101010,Software and Computer Services,Computer Services,29.66,GBX,37.2236946,SPARK Advisory Partners Limited,3.67363658,0,3.67363658,30,30.95999908,30.38999939,30.5,23239,30,29.5,34.5,,,,,
UK Main Market,05/12/2022,01/12/2022,2022,IPO,HELD,HELLENIC DYNAMICS PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.3,GBX,37.59,,0.75,0,0.75,0.300000012,0.321999997,0.125,0.150999993,62157649,0.185000002,0.137999997,0.094999999,,,,,
UK Main Market,30/11/2022,01/11/2022,2022,IPO,DSI,DIAL SQUARE INVESTMENTS PLC,New Company Placing,,United Kingdom,,,,5,GBX,1.99125,,0.515,0,0.515,7.5,10,10,7.5,100,7,0.025,3,,,,,
UK Main Market,14/11/2022,01/11/2022,2022,IPO,ITH,ITHACA ENERGY PLC,New Company Placing,,United Kingdom,60101015,"Oil, Gas and Coal",Offshore Drilling and Other Services,250,GBX,2412.891902,,262.5,37.5,300,244.9499969,254.8999939,221,215.8946991,20583213,197.1212463,160.5130157,163.6106415,,,,,
UK Main Market,31/10/2022,01/10/2022,2022,IPO,BWN,BOWEN FINTECH PLC,New Company Placing,,United Kingdom,,,,4,GBX,2.75,,2,0,2,5,5,5,5,0,0.059999999,6.25,6.25,,,,,
International Main Market,27/10/2022,01/10/2022,2022,IPO,UMR,UNICORN MINERAL RESOURCES PLC,New Company Placing,,Ireland,55102000,Industrial Metals and Mining,General Mining,10,GBX,2.91434472,,0.93,0,0.93,10.5,18,10,17.5,4449264,18.5,0.185000002,12.5,,,,,
UK Main Market,24/10/2022,01/10/2022,2022,IPO,ATN,EASTINCO MINING AND EXPLORATION PLC,New Company Placing,,United Kingdom,55102000,Industrial Metals and Mining,General Mining,1,GBX,10.61163502,,0.85405,0,0.85405,1.100000024,1,0.899999976,1.100000024,342500,0.949999988,0.949999988,0.850000024,,,,,
AIM,21/10/2022,01/10/2022,2022,IPO,SND,SONDREL (HOLDINGS) PLC,New Company Placing,,United Kingdom,10102010,Technology Hardware and Equipment,Semiconductors,55,GBX,49.41590118,Cenkos Securities Plc,19.9999998,0,19.9999998,56.5,59.5,51.66600037,58,859395,58.5,60.5,63.5,,,,,
International Main Market,12/10/2022,01/10/2022,2022,IPO,ACG,ACG ACQUISITION COMPANY LIMITED,New Company Placing,,British Virgin Islands,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10,USD,112.1887375,,113.2287402,0,113.2287402,10.10000038,10.10000038,10.10000038,10.02499962,250,9.925000191,9.975000381,9.949999809,9.850000381,,,,
UK Main Market,04/10/2022,01/10/2022,2022,IPO,MII,MILTON CAPITAL PLC,New Company Placing,,United Kingdom,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,1,GBX,1.1,,0.95,0,0.95,1.100000024,1.197999954,1.190000057,1.100000024,73969,1.100000024,1.024999976,0.0095,0.899999976,,,,
AIM,15/09/2022,01/09/2022,2022,IPO,AURR,AURRIGO INTERNATIONAL PLC,New Company Placing,,United Kingdom,10102015,Technology Hardware and Equipment,Electronic Components,48,GBX,20.62500017,Singer Capital Markets Advisory LLP,8.00000016,0,8.00000016,49.5,53.68000031,51.5,52.5,134749,56,56,74,135,,,,
UK Main Market,15/09/2022,01/09/2022,2022,IPO,FINA,FINTECH ASIA LIMITED,New Company Placing,,Guernsey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,50,GBX,10.374,,1.505,0,1.505,54.5,54.5,54.5,54.5,0,55.5,55.5,51.5,0.5,,,,
UK Main Market,15/09/2022,01/09/2022,2022,IPO,IKIV,IKIGAI VENTURES LIMITED,New Company Placing,,Guernsey,30205000,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.5,GBP,10.34,,2.09,0,2.09,0.545000017,0.545000017,0.545000017,0.545000017,0,0.555000007,0.555000007,54,0.50999999,,,,
UK Main Market,29/07/2022,01/07/2022,2022,IPO,FCM,FIRST CLASS METALS PLC,New Company Placing,,United Kingdom,55102000,Industrial Metals and Mining,General Mining,10,GBX,6.895565775,,1.13,0,1.13,10.5,10.94999981,10.19999981,10.75,200002,10.125,9.375,15.25,14.75,,,,
