Market,Date,Month,Year,LSE IPO,TIDM,Company,Issue type,Country of Inc.,FTSE Industry,FTSE Sector, FTSE Subsector ,Issue Price,Currency, Market Cap - Opening Price (£m) ,Nominated Advisor (AIM only),Money Raised - New (),Money Raised - Existing (),TOTAL RAISED (),Initial Trading Open,Initial Trading High,Initial Trading Low,Adj Close Day 1,Volume Initial Trading Day,Adj Close Day 7,Adj Close Day 30,Adj Close Day 90,Adj Close Day 180,Adj Close Day 365,Adj Close Day 730,Adj Close Day 1825,Adj Close Day 3650,notes
AIM,2023-03-30,2023-03-01,2023,IPO,ONWD,ONWARD OPPORTUNITIES LIMITED,New Company Placing,Guernsey,,,,100.0,GBX,12.3,,12.75,0,12.75,96.5,106.9000015258789,98.0,104.0,1353424.0,105.0,,,,,,,,
UK Main Market,2023-02-28,2023-02-01,2023,IPO,DAR,DAR GLOBAL PLC,New Company Placing,United Kingdom,,,,3.33,USD, -   ,,60.23,0,60.23,3.549999952316284,3.3299999237060547,3.3299999237060547,3.5999999046325684,27500.0,3.700000047683716,3.799999952316284,,,,,,,
AIM,2023-02-14,2023-02-01,2023,IPO,FMET,FULCRUM METALS PLC,New Company Placing,United Kingdom,,,,17.5,GBX, -   ,,3.0,0,3,19.0,18.799999237060547,17.649999618530273,18.25,292668.0,17.649999618530273,17.75,,,,,,,
AIM,2023-01-30,2023-01-01,2023,IPO,CLA,CELSIUS RESOURCES LIMITED,New Company Placing,Australia,55102000.0,Industrial Metals and Mining,General Mining,0.8,GBX, -   ,Beaumont Cornish Limited,2.4,0,2.4,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.0,0.949999988079071,0.949999988079071,,,,,,,
UK Main Market,2023-01-05,2023-01-01,2023,IPO,STK,STREAKS GAMING PLC,New Company Placing,United Kingdom,40203040.0,Leisure Goods,Electronic Entertainment,3.0,GBX,12.77,,3.68,0,3.68,3.375,3.375,3.375,3.375,0.0,3.5,3.1500000953674316,2.9000000953674316,,,,,,
UK Main Market,2022-12-21,2022-12-01,2022,IPO,MCI,MEDCAW INVESTMENTS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,GBX,1.8,,0.64,0,0.64,0.10499999672174454,0.10499999672174454,0.10499999672174454,0.10499999672174454,0.0,0.10499999672174454,0.07999999821186066,0.05000000074505806,,,,,,Weird growth?
AIM,2022-12-15,2022-12-01,2022,IPO,S247,SMARTTECH247 GROUP PLC,New Company Placing,United Kingdom,10101010.0,Software and Computer Services,Computer Services,29.66,GBX,37.22,SPARK Advisory Partners Limited,3.67,0,3.67,30.0,30.959999084472656,30.389999389648438,30.5,23239.0,30.0,29.5,34.5,,,,,,
UK Main Market,2022-12-05,2022-12-01,2022,IPO,HELD,HELLENIC DYNAMICS PLC,New Company Placing,United Kingdom,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,0.3,GBX,37.59,,0.75,0,0.75,0.30000001192092896,0.32199999690055847,0.125,0.1509999930858612,62157649.0,0.1850000023841858,0.1379999965429306,0.0949999988079071,,,,,,
UK Main Market,2022-11-30,2022-11-01,2022,IPO,DSI,DIAL SQUARE INVESTMENTS PLC,New Company Placing,United Kingdom,,,,5.0,GBX,1.99,,0.52,0,0.52,7.5,10.0,10.0,7.5,100.0,7.0,0.025,3.25,,,,,,
UK Main Market,2022-11-14,2022-11-01,2022,IPO,ITH,ITHACA ENERGY PLC,New Company Placing,United Kingdom,60101015.0,"Oil, Gas and Coal",Offshore Drilling and Other Services,250.0,GBX,2412.89,,262.5,37.5,300,244.95,254.9,221.0,230.0,20583213.0,192.0,172.0,184.5,,,,,,
UK Main Market,2022-10-31,2022-10-01,2022,IPO,BWN,BOWEN FINTECH PLC,New Company Placing,United Kingdom,,,,4.0,GBX,2.75,,2.0,0,2,5.0,5.0,5.0,5.0,0.0,0.05999999865889549,6.25,6.25,,,,,,Weird Dip?
International Main Market,2022-10-27,2022-10-01,2022,IPO,UMR,UNICORN MINERAL RESOURCES PLC,New Company Placing,Ireland,55102000.0,Industrial Metals and Mining,General Mining,10.0,GBX,2.91,,0.93,0,0.93,10.5,18.0,10.0,17.5,4449264.0,18.5,0.1850000023841858,12.5,,,,,,
UK Main Market,2022-10-24,2022-10-01,2022,IPO,ATN,EASTINCO MINING AND EXPLORATION PLC,New Company Placing,United Kingdom,55102000.0,Industrial Metals and Mining,General Mining,1.0,GBX,10.61,,0.85,0,0.85,1.100000023841858,1.0,0.8999999761581421,1.100000023841858,342500.0,0.949999988079071,0.949999988079071,0.8500000238418579,,,,,,Name change from https://www.londonstockexchange.com/news-article/ATN/change-of-name/15699391
AIM,2022-10-21,2022-10-01,2022,IPO,SND,SONDREL (HOLDINGS) PLC,New Company Placing,United Kingdom,10102010.0,Technology Hardware and Equipment,Semiconductors,55.0,GBX,49.42,Cenkos Securities Plc,20.0,0,20,56.5,59.5,51.66600036621094,58.0,859395.0,58.5,60.5,63.5,54.5,,,,,
International Main Market,2022-10-12,2022-10-01,2022,IPO,ACG,ACG ACQUISITION COMPANY LIMITED,New Company Placing,British Virgin Islands,30205000.0,Open End and Miscellaneous Investment Vehicles,Open End and Miscellaneous Investment Vehicles,10.0,USD,112.19,,113.23,0,113.23,10.100000381469727,10.100000381469727,10.100000381469727,10.024999618530273,250.0,9.925000190734863,9.975000381469727,9.949999809265137,9.850000381469727,,,,,
